Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10
80->39,41->2,79->45,95->10,25->23,76->19,43->29,60->27,71->33,40->20
66->23,58->24,65->26,51->30,42->12,95->11,67->50,64->56,49->45,8->2
37->33,45->18,38->10,58->54,22->15,45->12,11->6,67->58,39->31,11->5
73->60,95->89,7->6,90->65,34->19,71->22,29->3,72->64,76->12,74->1
84->53,82->73,83->65,71->56,92->67,97->70,76->9,69->25,58->16,98->41
11->2,22->4,41->24,66->40,61->38,80->52,13->2,49->21,53->7,61->42
54->40,47->6,67->41,84->64,23->20,5->1,55->11,47->43,93->67,6->3
13->6,76->43,16->87,91->75,28->9,59->26,57->18,32->5,98->99,45->12
18->11,69->11,9->66,3->1,41->21,33->56,38->32,28->19,21->63,86->69
60->34,91->100,48->72,27->41,90->93,82->91,27->16,39->24,87->94,97->32
8->79,68->75,47->99,12->34,82->90,24->42,37->92,17->62,22->35,48->61
30->45,59->82,81->88,78->96,97->100,79->97,34->60,63->82,25->32,20->55
78->92,31->61,28->30,54->100,29->62,40->63,71->86,14->20,61->80,96->97
85->91,7->88,86->92,33->77,11->98,78->96,69->73,38->65,14->51,14->29
58->97,37->84,21->48,34->89,13->41,6->93,62->94,56->85,13->24,2->71
70->84,75->94,88->89,92->95,78->95,98->100,17->26,33->51,54->73,79->81
4->85,88->93,75->100,25->49,95->96,55->98,45->57,30->68,15->95,41->96
94->100,4->48,45->71,75->98,31->59,69->73,33->79,98->99,74->88,18->62
7->72,96->99,4->77,60->79,65->66,11->85,6->21,74->96,59->100,62->99
89->94,51->57,71->98,59->80,20->97,51->77,18->62,89->95,42->55,68->95
