Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
35,29,30,53,39,45,31,32,31,39
23,41,34,45,30,29,30,32,28,32
22,51,37,39,49,25,45,33,31,37
28,29,31,35,42,38,31,29,34,34
39,28,41,31,26,38,32,34,24,28
31,28,33,39,45,35,30,42,33,38
30,30,30,41,34,36,33,33,32,43
32,31,24,31,56,26,21,41,36,40
30,52,44,33,33,34,43,37,67,31
26,38,31,38,37,40,28,39,34,28
31,43,30,35,35,44,46,44,44,43
38,30,33,38,32,32,32,32,29,56
29,32,34,61,41,33,30,42,38,29
33,37,40,37,52,23,30,54,39,36
39,42,28,29,40,25,39,37,34,30
31,34,26,38,28,35,27,34,32,39
32,50,35,37,69,24,30,35,30,44
26,33,38,31,39,29,40,33,34,45
31,32,28,32,35,31,40,35,28,37
35,31,28,36,31,30,39,37,35,53
32,33,29,36,36,34,41,34,35,42
37,28,35,37,24,28,32,32,34,46
28,30,28,37,32,36,34,36,28,41
32,32,38,36,36,29,41,42,28,39
28,33,34,32,40,29,35,39,33,46
30,34,42,42,39,28,31,38,28,37
29,42,31,32,36,31,32,55,31,46
27,39,38,29,39,30,25,32,43,40
35,36,33,28,46,28,25,36,21,34
25,36,32,33,33,25,45,33,27,39
39,38,28,42,34,29,40,44,38,34
27,41,26,32,70,41,32,39,41,65
25,45,36,41,31,28,36,39,46,28
36,30,31,22,70,35,39,34,23,37
28,42,23,36,36,32,26,38,30,42
38,42,32,40,30,35,51,28,32,31
27,43,25,25,32,32,37,40,27,35
29,30,32,40,42,35,21,23,31,32
30,45,25,23,29,28,39,37,35,36
41,32,23,35,37,30,25,32,32,47
29,36,37,33,37,30,27,25,41,35
34,45,30,21,36,35,35,33,29,37
41,36,32,30,32,52,37,32,25,26
26,32,30,31,28,33,25,23,30,29
26,36,32,32,30,38,36,30,30,35
30,46,31,29,31,27,30,33,37,29
31,24,32,64,42,26,29,42,33,35
28,27,30,35,33,36,35,34,31,42
30,34,37,32,38,30,35,32,25,39
42,36,35,37,33,36,37,44,40,42
30,38,52,39,37,39,29,42,34,48
35,45,35,33,40,33,30,37,28,38
28,34,45,31,36,29,32,38,30,51
30,34,32,26,40,32,29,28,35,37
27,44,34,31,28,30,50,42,30,32
28,31,46,33,37,22,38,27,41,24
31,27,26,36,53,26,34,28,27,26
33,40,28,29,31,47,36,42,27,32
49,31,38,31,37,27,25,26,38,32
31,40,33,23,36,32,31,42,27,47
32,39,28,35,47,30,32,29,33,44
39,25,35,30,34,26,25,39,30,54
21,28,36,38,35,28,34,28,31,38
31,27,47,24,30,29,35,37,29,55
30,33,35,39,57,32,26,32,41,31
33,25,24,33,33,34,45,40,35,58
33,36,38,28,37,31,24,34,38,41
29,40,31,35,32,27,43,36,28,35
36,24,37,41,29,30,28,26,30,40
25,36,27,36,46,45,38,39,33,47
40,46,41,33,32,40,27,45,38,55
37,40,30,29,30,28,39,29,34,42
40,36,38,30,35,32,28,34,49,31
28,32,32,38,43,42,32,36,34,51
27,26,33,33,47,26,35,26,37,51
33,23,26,25,39,33,26,46,34,32
31,32,33,30,37,42,43,33,31,37
25,32,27,30,44,30,32,41,24,37
24,47,24,24,31,34,34,36,39,70
36,28,28,38,33,26,34,34,27,47
29,27,30,30,28,36,28,31,33,31
30,34,38,36,31,28,39,28,28,33
36,31,38,34,23,28,44,39,39,29
28,27,32,36,32,33,28,34,39,35
28,39,46,27,27,39,51,48,39,33
27,30,29,29,39,26,34,36,30,31
39,45,28,31,29,29,41,32,32,33
27,36,30,28,71,34,35,31,36,33
30,28,37,46,39,28,35,41,47,38
38,45,45,35,47,41,33,35,28,30
34,25,37,25,36,38,35,33,41,38
30,32,36,27,33,30,55,38,34,33
37,40,34,32,27,38,27,38,28,44
27,37,24,46,40,34,34,39,37,32
28,33,36,32,33,27,34,32,30,31
31,37,38,24,32,39,26,39,30,41
33,47,28,28,23,25,30,32,35,44
26,30,46,31,28,35,27,28,25,30
34,32,38,43,25,38,33,38,27,25
31,40,29,34,33,33,32,36,30,31
33,43,31,38,41,30,44,34,26,31
37,26,29,32,38,27,36,37,35,46
30,38,26,32,34,38,26,33,31,27
28,35,33,30,46,34,29,35,34,28
26,49,30,29,36,33,34,47,34,25
39,38,25,37,44,27,33,39,28,42
32,25,52,26,34,30,29,39,30,35
31,34,34,30,31,24,32,38,36,48
32,28,24,50,28,29,45,36,37,48
30,37,33,31,31,37,32,34,30,50
24,29,32,50,48,37,27,38,32,38
26,37,28,32,25,39,31,34,29,47
30,42,34,49,34,32,27,46,27,36
27,44,32,22,31,39,35,46,30,34
27,38,27,38,35,27,50,28,32,57
32,37,31,35,33,42,47,33,32,42
28,31,36,39,34,39,32,31,29,33
30,30,30,27,40,27,34,33,34,29
26,48,30,41,22,42,41,28,26,43
31,37,32,26,40,30,33,55,47,44
25,25,29,34,30,28,32,35,40,37
28,36,40,30,39,32,38,29,57,44
39,57,34,30,42,31,38,29,32,28
35,30,40,28,29,34,30,50,35,61
37,32,37,34,31,38,29,34,38,32
33,33,31,38,27,31,28,40,35,28
43,32,34,29,37,31,38,27,27,67
37,34,29,42,31,36,27,36,30,34
38,28,29,31,25,34,31,41,33,25
35,34,34,28,33,31,31,33,33,43
35,40,38,35,38,32,26,32,28,39
23,43,29,28,51,30,34,48,26,33
39,32,28,32,44,42,30,36,31,55
38,43,37,36,38,27,24,34,44,43
26,22,23,38,38,26,39,50,28,43
29,29,30,45,52,21,39,34,32,44
29,31,32,37,38,42,28,40,40,46
29,34,34,32,43,33,34,42,39,40
25,34,31,30,35,37,31,30,36,44
33,37,30,30,34,25,40,55,31,37
37,29,31,35,44,38,35,46,33,31
33,45,36,33,41,28,34,45,28,28
32,35,45,28,39,29,23,27,25,54
26,29,37,40,35,37,36,28,29,36
36,28,32,39,34,40,39,35,38,47
31,38,31,41,42,35,36,29,41,31
29,33,27,33,42,36,37,38,21,38
31,31,37,40,52,34,38,30,46,40
35,30,35,33,31,27,27,37,38,40
28,34,42,35,23,28,30,34,41,36
34,36,30,29,39,41,40,26,35,49
27,35,41,22,36,36,39,46,27,30
35,25,30,30,43,40,32,34,45,33
31,33,35,44,30,33,21,40,28,32
33,29,31,33,41,36,36,35,31,36
29,38,40,40,36,26,26,33,43,36
34,34,32,39,52,36,23,29,22,34
26,36,27,32,36,42,36,39,34,37
27,35,31,30,46,39,27,51,34,44
30,34,41,37,35,32,25,32,34,39
29,36,26,35,31,29,33,30,39,40
33,28,40,36,28,31,38,38,35,52
26,40,31,38,29,23,23,27,34,39
27,25,33,30,45,30,35,38,34,39
30,26,36,34,26,35,24,32,36,38
25,47,25,30,41,27,28,42,33,42
26,38,36,41,40,33,34,32,40,27
27,37,30,43,35,41,47,40,28,41
34,34,38,34,33,34,24,46,28,53
40,35,29,33,40,39,30,35,33,36
46,31,34,38,33,32,30,28,36,36
35,41,33,45,41,35,39,32,33,28
32,32,29,29,28,42,30,48,29,33
30,32,24,31,32,33,28,32,37,41
24,28,38,45,35,42,35,35,25,34
30,31,28,27,39,28,26,49,25,37
30,36,35,30,39,29,29,48,39,38
30,28,26,42,27,26,29,36,32,47
31,39,38,28,31,31,29,38,29,39
41,24,33,31,38,28,40,38,28,43
27,44,29,35,35,29,27,39,34,50
29,37,26,40,60,27,35,46,28,39
48,42,35,28,33,29,31,38,28,30
30,29,37,28,30,46,45,23,28,37
36,27,32,44,26,24,35,43,38,44
27,29,30,32,33,28,44,34,33,32
35,29,37,36,38,33,41,42,32,37
29,43,40,44,32,30,32,27,32,32
28,29,29,39,35,32,37,46,32,50
31,31,36,25,47,33,50,31,37,32
32,33,41,36,52,37,23,30,28,47
33,45,33,36,38,29,68,39,27,40
32,34,30,28,37,29,35,53,31,36
21,26,29,36,35,30,32,42,37,42
27,53,32,43,35,31,33,39,26,39
35,29,27,26,40,24,38,37,30,39
36,26,41,25,33,42,42,28,34,42
27,24,31,42,32,32,30,29,30,45
26,21,38,34,32,43,39,27,36,54
26,31,30,41,38,33,31,36,34,33
34,35,50,40,32,29,27,32,32,36
29,37,37,43,27,37,30,36,33,44
41,37,40,38,28,34,32,32,30,41
37,38,39,30,46,39,25,35,26,48
28,24,42,36,33,37,39,28,33,24
40,41,29,33,32,32,42,41,38,30
40,32,43,37,39,36,31,35,28,53
43,47,38,42,40,37,37,48,41,46
26,29,27,39,36,25,42,46,32,38
