Board Number,Snakes,Ladders,Average Game Time
Board 1,42->37; 94->89; 62->57; 55->50; 88->83; 84->79; 85->80; 32->27; 37->32; 49->44,66->76; 3->13; 68->78; 5->15; 77->87; 13->23; 51->61; 20->30; 21->31; 24->34,28.6217
Board 2,31->26; 70->65; 87->82; 57->52; 79->74; 73->68; 27->22; 12->7; 36->31; 72->67,67->77; 37->47; 10->20; 74->84; 49->59; 83->93; 20->30; 59->69; 60->70; 61->71,26.9594
Board 3,95->90; 85->80; 49->44; 81->76; 74->69; 68->63; 71->66; 63->58; 42->37; 48->43,4->14; 72->82; 9->19; 10->20; 43->53; 73->83; 79->89; 21->31; 26->36; 29->39,27.3199
Board 4,87->82; 44->39; 54->49; 25->20; 97->92; 70->65; 10->5; 42->37; 71->66; 58->53,5->15; 7->17; 73->83; 74->84; 11->21; 76->86; 45->55; 77->87; 15->25; 61->71,27.7963
Board 5,35->30; 78->73; 89->84; 39->34; 16->11; 98->93; 37->32; 61->56; 53->48; 62->57,34->44; 3->13; 80->90; 18->28; 50->60; 19->29; 86->96; 55->65; 57->67; 58->68,25.5087
Board 6,58->53; 11->6; 8->3; 69->64; 55->50; 51->46; 36->31; 81->76; 14->9; 70->65,33->43; 35->45; 5->15; 37->47; 75->85; 44->54; 78->88; 22->32; 27->37; 63->73,27.4184
Board 7,43->38; 6->1; 61->56; 12->7; 94->89; 25->20; 90->85; 59->54; 40->35; 97->92,32->42; 2->12; 66->76; 34->44; 35->45; 42->52; 11->21; 76->86; 77->87; 30->40,28.2084
Board 8,39->34; 94->89; 86->81; 73->68; 14->9; 61->56; 30->25; 49->44; 96->91; 83->78,32->42; 65->75; 3->13; 11->21; 50->60; 18->28; 54->64; 25->35; 27->37; 62->72,27.5628
Board 9,8->3; 92->87; 94->89; 79->74; 72->67; 55->50; 69->64; 11->6; 21->16; 63->58,65->75; 4->14; 36->46; 68->78; 9->19; 78->88; 86->96; 59->69; 29->39; 62->72,26.1344
Board 10,26->21; 61->56; 65->60; 27->22; 60->55; 50->45; 31->26; 19->14; 15->10; 51->46,32->42; 2->12; 68->78; 10->20; 44->54; 52->62; 84->94; 54->64; 22->32; 25->35,26.3382
Board 1,11->1; 93->83; 96->86; 15->5; 28->18; 56->46; 39->29; 76->66; 29->19; 34->24,33->53; 5->25; 37->57; 8->28; 75->95; 43->63; 54->74; 25->45; 58->78; 27->47,22.9289
Board 2,32->22; 66->56; 68->58; 19->9; 69->59; 26->16; 83->73; 25->15; 11->1; 24->14,4->24; 71->91; 8->28; 41->61; 75->95; 76->96; 13->33; 22->42; 23->43; 58->78,24.2092
Board 3,79->69; 57->47; 63->53; 36->26; 11->1; 38->28; 91->81; 69->59; 41->31; 43->33,32->52; 2->22; 37->57; 9->29; 46->66; 20->40; 23->43; 30->50; 24->44; 62->82,24.1335
Board 4,36->26; 59->49; 48->38; 91->81; 24->14; 43->33; 11->1; 67->57; 90->80; 44->34,70->90; 7->27; 8->28; 73->93; 10->30; 22->42; 23->43; 58->78; 27->47; 28->48,28.9005
Board 5,24->14; 75->65; 14->4; 92->82; 37->27; 94->84; 22->12; 40->30; 58->48; 84->74,66->86; 35->55; 71->91; 43->63; 44->64; 77->97; 46->66; 79->99; 19->39; 31->51,24.6083
Board 6,18->8; 60->50; 87->77; 82->72; 53->43; 62->52; 20->10; 88->78; 52->42; 43->33,64->84; 65->85; 68->88; 7->27; 74->94; 11->31; 45->65; 47->67; 50->70; 55->75,24.2576
Board 7,17->7; 19->9; 32->22; 71->61; 66->56; 61->51; 97->87; 49->39; 34->24; 25->15,64->84; 35->55; 73->93; 74->94; 11->31; 20->40; 55->75; 56->76; 59->79; 63->83,25.1452
Board 8,68->58; 11->1; 84->74; 87->77; 40->30; 59->49; 97->87; 17->7; 41->31; 77->67,33->53; 3->23; 5->25; 8->28; 76->96; 12->32; 46->66; 78->98; 51->71; 23->43,22.6488
Board 9,90->80; 74->64; 59->49; 43->33; 55->45; 87->77; 38->28; 88->78; 51->41; 62->52,36->56; 71->91; 39->59; 42->62; 48->68; 17->37; 50->70; 52->72; 61->81; 63->83,26.9172
Board 10,38->28; 69->59; 92->82; 91->81; 85->75; 17->7; 72->62; 43->33; 24->14; 33->23,36->56; 40->60; 44->64; 12->32; 47->67; 16->36; 48->68; 52->72; 29->49; 31->51,30.2941
Board 1,71->51; 70->50; 98->78; 64->44; 40->20; 51->31; 96->76; 38->18; 55->35; 48->28,2->42; 8->48; 41->81; 42->82; 46->86; 19->59; 20->60; 25->65; 58->98; 59->99,23.0375
Board 2,86->66; 44->24; 36->16; 55->35; 71->51; 53->33; 90->70; 78->58; 64->44; 61->41,33->73; 35->75; 5->45; 9->49; 12->52; 20->60; 21->61; 54->94; 24->64; 59->99,22.5046
Board 3,89->69; 97->77; 63->43; 37->17; 86->66; 73->53; 69->49; 53->33; 42->22; 90->70,40->80; 11->51; 43->83; 46->86; 17->57; 49->89; 19->59; 55->95; 24->64; 25->65,32.053
Board 4,60->40; 71->51; 79->59; 59->39; 70->50; 47->27; 40->20; 90->70; 57->37; 99->79,32->72; 2->42; 37->77; 13->53; 51->91; 20->60; 21->61; 52->92; 28->68; 31->71,25.2909
Board 5,63->43; 45->25; 86->66; 32->12; 81->61; 92->72; 52->32; 49->29; 43->23; 47->27,37->77; 7->47; 9->49; 44->84; 46->86; 14->54; 15->55; 18->58; 22->62; 27->67,26.4003
Board 6,69->49; 66->46; 72->52; 31->11; 95->75; 93->73; 96->76; 54->34; 74->54; 98->78,32->72; 3->43; 42->82; 10->50; 48->88; 19->59; 24->64; 59->99; 29->69; 30->70,34.1777
Board 7,94->74; 55->35; 60->40; 30->10; 47->27; 51->31; 67->47; 42->22; 79->59; 86->66,35->75; 5->45; 8->48; 41->81; 15->55; 20->60; 21->61; 54->94; 22->62; 28->68,25.2888
Board 8,54->34; 55->35; 63->43; 47->27; 36->16; 78->58; 84->64; 46->26; 49->29; 98->78,5->45; 6->46; 7->47; 40->80; 15->55; 48->88; 19->59; 23->63; 27->67; 31->71,23.8135
Board 9,37->17; 33->13; 36->16; 22->2; 92->72; 68->48; 41->21; 39->19; 60->40; 58->38,34->74; 4->44; 7->47; 42->82; 48->88; 51->91; 21->61; 54->94; 57->97; 27->67,16.9455
Board 10,76->56; 90->70; 83->63; 95->75; 62->42; 84->64; 97->77; 85->65; 27->7; 61->41,36->76; 4->44; 39->79; 41->81; 13->53; 48->88; 50->90; 19->59; 52->92; 28->68,48.1805
