Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
28,38,30,31,28,34,26,22,23,33
35,26,29,35,37,25,25,31,28,33
41,36,39,41,31,28,21,39,25,28
37,28,35,27,29,28,25,26,29,40
37,29,35,30,29,37,24,39,29,30
24,32,31,32,24,32,27,29,27,27
31,32,29,33,30,30,38,36,25,24
29,34,32,36,25,26,34,30,26,29
27,37,28,29,25,27,29,27,39,24
27,30,25,25,29,29,26,32,36,32
25,27,33,26,31,26,34,39,28,33
31,28,31,33,35,35,26,35,39,39
37,30,23,27,29,25,27,38,31,27
30,27,29,29,31,35,28,27,31,27
32,30,28,29,25,22,22,38,40,33
32,28,48,30,27,32,38,38,25,35
28,23,37,25,28,28,28,30,42,31
31,35,40,29,26,31,27,30,27,25
34,28,25,31,25,31,22,36,22,28
27,29,33,22,32,24,31,31,25,28
24,27,38,34,24,25,28,33,35,27
38,29,31,37,25,26,25,29,38,31
35,25,30,24,34,28,28,55,32,22
27,23,40,33,26,33,21,28,34,33
39,34,24,33,25,47,25,29,35,24
30,25,24,25,23,28,37,44,35,37
27,29,26,31,31,31,27,32,25,30
31,27,26,24,25,29,28,44,29,28
45,29,29,30,31,39,29,33,35,25
34,25,25,28,27,28,28,31,29,31
28,31,33,28,22,35,31,29,34,29
25,31,34,30,28,29,38,32,36,24
36,36,35,25,25,34,26,25,33,37
42,37,39,33,26,25,23,35,28,30
24,26,24,32,26,24,30,34,40,34
25,25,35,33,28,41,30,34,36,32
28,29,28,25,26,29,33,27,31,47
35,30,32,28,23,26,31,33,25,31
27,27,26,33,29,36,35,33,28,41
23,39,26,32,28,26,32,38,31,27
38,29,31,25,34,28,26,32,35,31
31,30,29,27,28,32,25,32,37,42
41,27,25,29,29,37,27,42,24,33
23,29,27,49,26,25,27,31,35,21
38,31,32,29,26,29,35,21,44,30
29,39,30,23,28,27,24,30,26,33
30,30,27,29,35,31,29,31,25,30
26,38,30,32,32,33,29,28,36,27
25,29,29,31,22,36,30,26,43,29
31,24,28,25,34,30,22,38,37,45
29,29,29,24,39,36,29,29,34,26
40,40,26,32,24,24,50,31,27,29
30,29,30,29,29,30,31,49,27,33
36,34,24,31,28,25,25,33,34,27
28,25,36,31,43,26,27,37,33,29
30,24,32,29,32,25,27,33,25,37
32,28,37,40,32,30,37,28,31,30
32,26,32,29,35,24,26,26,31,24
37,29,31,32,30,28,24,34,26,30
30,31,34,30,29,46,28,32,27,32
29,28,39,29,25,35,27,31,36,50
22,27,27,27,28,27,29,36,28,36
24,31,32,26,27,31,29,22,31,27
26,25,27,30,23,38,25,25,31,36
31,33,42,34,22,26,27,26,21,28
29,30,32,34,25,31,34,28,27,29
27,30,29,33,29,31,33,28,32,34
31,28,30,30,39,35,27,33,29,30
