Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
32,34,29,32,34,32,27,24,28,29
26,27,29,26,31,31,32,30,28,29
30,31,29,37,30,24,32,31,31,30
28,24,31,30,27,22,30,26,33,28
24,23,29,30,27,27,31,30,33,22
28,29,34,37,30,27,29,27,29,29
27,38,23,26,33,27,34,27,28,36
38,25,28,27,27,27,31,35,33,23
24,25,28,30,25,27,36,25,33,33
28,30,32,30,31,27,27,30,30,28
32,25,29,36,29,31,30,34,33,27
25,31,38,34,30,21,28,32,37,29
32,29,21,27,30,27,29,27,29,25
31,25,28,29,25,31,25,28,28,37
26,25,27,25,25,23,25,29,27,28
29,31,24,25,31,33,26,26,35,33
34,27,36,33,28,34,27,35,27,22
27,33,28,24,36,22,33,23,27,27
36,36,28,26,32,33,29,24,36,35
31,48,26,27,29,26,27,28,29,30
33,29,42,30,32,30,27,27,31,25
27,28,33,26,24,35,25,34,27,32
24,26,21,30,25,32,30,36,31,34
27,28,42,31,25,29,29,27,27,31
30,28,22,36,28,29,29,31,36,27
27,26,27,31,33,30,25,26,28,23
27,33,28,27,29,21,35,25,44,28
40,29,29,33,23,29,31,26,30,33
37,27,26,27,33,32,26,28,29,31
30,39,31,32,26,28,25,28,40,26
28,27,23,27,26,30,32,29,30,26
26,25,27,33,25,35,28,38,32,32
28,29,24,28,34,30,30,28,26,30
28,31,26,31,26,19,27,28,34,31
28,24,26,24,30,32,30,29,38,32
28,37,36,31,25,27,30,25,29,29
28,30,29,28,28,34,22,34,29,25
29,31,38,35,28,28,31,27,28,27
30,33,26,25,36,36,28,23,25,23
30,33,23,34,28,23,33,25,26,31
32,27,33,27,22,29,35,30,26,28
30,28,32,40,29,31,28,25,30,36
33,33,28,28,29,30,26,19,25,22
36,27,29,29,29,42,25,28,38,35
26,35,31,29,30,32,28,29,31,26
28,28,28,32,37,28,28,29,23,32
28,27,24,34,27,29,23,31,29,34
31,24,33,33,29,34,31,31,28,26
33,34,23,34,32,23,26,26,38,25
37,29,30,25,28,31,36,25,27,27
31,36,26,30,27,25,29,32,30,33
27,29,25,36,27,27,28,28,33,30
31,22,35,26,28,26,34,25,40,33
30,29,27,29,26,31,28,25,26,34
27,30,26,33,28,30,27,27,30,28
33,27,33,28,38,28,30,31,37,21
37,37,26,32,32,35,26,22,38,30
31,25,34,27,28,30,35,32,33,23
26,29,31,28,28,27,30,26,29,35
27,34,31,28,31,34,25,32,31,31
28,26,33,26,27,42,28,30,37,40
33,25,31,25,25,21,28,34,29,24
27,25,31,39,35,29,33,29,26,29
29,30,24,28,33,27,28,29,31,29
25,28,33,33,26,31,31,28,36,30
26,30,30,36,27,24,26,29,29,39
31,30,35,29,28,27,36,27,27,24
35,28,26,32,30,25,27,25,42,31
30,30,25,38,29,26,37,32,25,28
29,31,28,30,31,30,30,26,27,30
25,30,28,27,28,35,28,22,29,26
30,33,30,26,30,38,28,30,34,28
24,33,41,29,30,35,28,25,35,28
34,28,30,23,28,35,24,24,31,23
28,27,29,24,29,31,37,33,27,30
31,26,32,26,36,27,29,22,25,29
30,28,34,24,33,28,31,29,31,40
28,29,30,31,29,27,26,27,23,31
35,22,27,22,30,27,33,27,30,24
26,25,26,26,27,31,28,25,31,33
28,25,24,26,32,31,28,28,35,29
29,29,22,28,24,30,37,24,30,29
29,23,34,29,25,27,27,29,25,27
31,24,28,24,33,26,27,28,25,22
36,23,26,29,27,36,35,30,30,32
28,32,24,27,30,23,23,31,31,30
26,30,22,33,35,28,33,29,33,42
32,37,27,34,29,30,30,29,27,33
32,30,25,38,25,23,28,33,26,25
24,23,25,29,30,25,30,31,32,31
31,31,35,25,34,30,25,34,27,34
29,29,27,31,28,29,29,36,28,27
25,26,29,32,24,26,26,33,26,27
35,37,25,29,24,31,26,27,31,27
41,27,28,27,32,21,27,30,31,38
38,31,30,27,33,28,31,22,27,27
38,29,34,23,25,31,23,29,20,27
35,30,27,31,30,33,47,31,42,21
30,26,30,33,33,32,32,26,35,29
27,25,38,28,28,29,41,28,27,29
30,31,21,32,38,29,30,25,33,29
37,27,29,23,29,31,34,26,29,30
25,35,31,26,29,26,32,28,30,24
27,37,32,23,41,24,28,34,23,26
34,24,25,29,30,26,38,27,29,28
26,29,31,27,27,40,24,33,27,30
27,32,31,25,30,28,21,28,24,30
24,35,26,31,29,33,26,27,36,23
30,26,26,24,24,25,21,24,29,31
33,26,30,26,29,26,29,32,29,24
28,24,33,27,25,35,27,26,33,33
26,26,28,24,23,29,30,24,30,32
32,29,28,32,32,32,36,36,32,30
39,35,34,27,28,26,35,28,25,29
31,31,25,36,25,28,32,30,26,32
28,28,26,30,29,29,30,36,31,33
28,26,27,28,27,29,29,30,28,27
30,26,24,30,27,29,27,32,25,30
35,24,26,23,32,35,28,35,40,28
30,32,34,25,25,29,28,27,28,30
34,26,27,36,27,31,28,22,27,23
30,35,26,28,32,25,29,30,30,27
35,21,29,29,27,22,34,30,35,33
33,24,25,30,35,33,29,30,35,25
27,33,29,26,32,28,30,25,25,28
28,31,24,27,26,29,33,29,26,32
28,29,27,32,28,25,27,33,27,27
28,30,28,25,30,30,29,32,29,26
24,28,27,41,24,31,31,25,36,22
26,33,33,25,30,31,25,33,26,30
30,25,35,26,25,32,33,32,26,28
32,26,27,30,26,27,26,26,32,39
32,32,30,24,29,27,24,26,33,36
38,32,30,27,27,29,40,25,27,26
33,25,29,28,25,26,22,34,35,24
29,28,35,27,24,33,36,29,29,38
29,31,26,28,31,28,29,34,34,28
37,24,30,28,32,33,26,34,29,23
36,29,27,33,38,33,29,29,28,30
37,24,28,29,26,32,30,38,24,32
32,27,27,29,28,29,24,30,29,39
33,26,28,22,26,36,26,31,26,23
28,33,27,25,31,29,26,26,27,28
40,26,25,24,25,31,30,26,24,41
33,25,30,38,22,29,31,23,39,33
27,27,30,24,25,27,32,30,30,26
26,28,31,26,26,33,30,23,30,22
28,28,25,28,26,29,32,29,22,26
36,29,23,31,36,31,26,31,33,25
27,29,29,30,27,25,35,27,24,26
26,26,26,28,22,28,32,27,27,26
25,27,28,28,27,30,37,26,39,28
27,33,28,28,30,27,34,24,29,29
24,27,31,29,29,27,30,25,36,30
27,28,33,36,35,30,31,23,40,28
24,31,35,24,35,31,36,28,30,37
35,40,25,33,35,27,35,27,39,31
27,21,36,32,32,31,27,30,46,36
32,28,27,27,29,28,32,31,32,24
32,26,25,30,27,35,26,27,29,23
29,28,30,39,24,23,23,30,25,23
31,34,26,27,32,33,30,32,26,26
32,25,25,25,33,34,23,25,32,41
27,27,31,30,33,32,25,28,27,32
27,22,31,28,33,28,29,25,34,33
28,22,23,26,34,28,39,33,28,39
28,25,26,33,28,25,29,31,40,34
24,25,33,26,29,34,26,29,34,33
26,29,28,28,24,26,29,33,33,31
24,32,28,29,32,22,24,26,26,43
28,27,27,32,29,32,33,35,33,35
41,27,29,43,29,25,27,25,33,26
36,35,32,28,28,27,36,27,32,32
33,26,36,31,34,26,28,28,30,34
25,27,31,25,31,29,25,32,27,40
30,26,30,30,26,31,35,26,29,31
33,34,33,25,32,34,27,37,43,29
28,26,28,21,28,26,28,37,22,33
30,30,24,30,29,25,28,33,32,35
27,26,29,28,23,27,25,25,30,27
28,23,23,25,35,22,25,29,30,28
33,31,31,28,27,26,38,29,31,30
27,32,32,27,29,33,29,32,25,31
33,36,21,35,32,24,27,27,40,24
27,27,34,24,29,23,32,27,29,34
27,31,25,29,26,30,34,38,29,28
27,25,31,23,24,27,41,29,36,29
35,29,35,35,32,29,24,27,33,28
33,33,33,37,25,30,30,30,25,28
26,27,31,26,24,26,26,34,33,23
27,27,28,28,29,32,30,31,29,34
32,31,24,29,27,30,24,22,33,34
33,31,29,23,28,26,38,32,35,32
30,29,31,37,22,27,33,30,24,31
30,25,25,32,23,25,28,31,28,30
29,33,28,33,33,27,25,27,35,24
25,30,26,34,28,28,24,24,35,24
27,30,29,27,30,37,26,37,29,32
32,30,32,29,35,25,27,26,31,34
27,25,36,25,31,30,33,25,29,27
27,40,32,31,34,28,33,29,30,31
28,24,30,30,26,32,29,28,27,23
30,27,28,26,33,25,31,29,29,30
44,26,24,37,33,26,32,29,37,28
30,27,28,31,32,28,23,30,24,39
34,31,28,26,29,33,28,25,32,28
31,25,33,31,26,34,29,29,31,31
26,33,30,27,28,37,31,32,24,25
23,26,30,34,34,32,23,36,24,35
27,31,31,28,27,30,26,30,36,29
30,30,25,39,34,26,32,27,31,28
31,23,24,31,32,32,24,29,28,31
33,29,28,27,30,26,28,34,30,31
33,28,33,26,25,31,32,25,33,27
31,23,26,34,26,28,31,25,31,30
29,31,31,28,24,28,30,29,34,23
23,31,27,29,31,28,25,26,27,21
35,33,27,27,26,29,31,27,31,26
30,36,30,32,30,32,29,32,43,28
24,28,29,31,25,28,30,28,34,25
27,28,28,20,32,34,28,27,30,25
32,28,32,25,27,26,24,26,40,30
32,26,27,27,28,32,31,28,26,27
22,29,27,30,24,29,35,25,37,27
27,26,27,21,31,30,27,31,30,43
30,23,27,30,25,26,30,34,28,25
26,25,30,26,25,34,25,31,37,32
25,28,30,27,27,24,34,25,31,35
31,23,30,31,32,31,32,28,38,31
31,32,30,27,26,32,25,28,41,28
27,29,29,35,22,29,29,27,25,27
28,25,28,31,31,29,29,26,39,28
21,24,32,30,27,23,30,28,32,31
26,37,28,40,35,23,25,31,24,28
32,27,31,25,27,31,28,39,35,28
27,26,26,37,28,30,24,24,34,39
33,33,25,29,27,32,28,27,39,24
29,27,27,33,33,27,28,35,34,24
27,23,27,28,25,29,26,34,30,30
28,28,25,29,26,23,25,29,31,27
24,31,26,31,22,28,36,26,41,23
31,27,24,29,26,40,29,31,37,32
31,27,29,29,30,26,23,30,29,28
33,31,25,32,36,25,24,24,30,30
31,30,30,29,29,32,29,28,29,25
28,25,26,27,24,29,30,30,24,27
28,25,33,31,29,34,36,26,31,28
29,27,34,25,35,28,28,23,29,25
28,27,25,34,24,34,26,29,37,25
36,29,24,31,30,37,35,22,27,25
32,31,31,33,23,24,27,29,30,33
26,31,32,33,29,24,28,25,30,26
29,31,25,23,31,25,29,31,25,32
33,24,24,27,39,34,28,25,24,28
24,22,30,23,31,28,32,31,30,33
28,32,26,28,34,29,30,25,51,24
29,25,25,22,38,29,28,26,32,28
31,33,29,22,25,26,29,28,26,28
26,28,42,26,27,29,30,25,38,26
30,27,25,26,36,28,30,27,28,33
35,24,30,34,29,24,27,25,36,31
30,32,24,32,29,24,31,24,28,30
34,31,27,29,33,23,27,23,29,22
33,31,30,28,26,29,27,28,31,26
28,34,29,25,23,26,28,26,40,30
33,24,28,27,27,36,29,28,28,23
30,28,24,28,28,31,30,28,27,28
