Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
33,30,27,33,37,34,26,40,33,36
27,25,29,30,35,29,36,32,28,28
31,35,28,35,38,35,35,28,40,27
30,28,32,40,34,26,25,30,30,26
23,27,39,35,25,30,41,33,30,27
36,31,32,37,27,29,32,30,43,40
28,33,28,32,52,27,31,36,30,34
26,31,27,35,28,31,33,32,38,25
37,32,30,35,29,35,36,27,30,28
29,38,37,35,30,36,28,30,26,30
30,24,34,32,34,25,25,28,31,34
28,28,29,38,29,27,36,31,28,31
29,25,32,25,33,31,38,35,25,27
29,32,24,31,26,24,27,35,27,24
33,35,28,30,29,39,29,33,45,23
33,34,30,25,34,31,34,31,27,33
37,29,38,45,24,37,30,22,37,42
34,39,24,25,36,32,43,30,27,33
34,34,26,24,25,30,31,32,29,31
34,32,33,35,33,31,25,33,24,26
29,36,37,35,31,33,31,34,30,31
30,28,35,36,36,32,30,28,33,27
28,29,29,34,34,26,35,30,29,31
23,32,32,32,26,32,29,37,38,26
32,20,21,34,30,24,33,29,44,33
32,28,34,34,32,28,24,37,35,33
27,27,32,29,32,59,28,36,29,37
28,26,36,31,36,33,33,23,32,46
24,29,27,36,30,33,30,24,38,24
24,27,33,32,36,26,29,40,34,24
27,25,32,20,32,38,32,32,31,35
33,22,39,31,26,34,25,26,35,28
29,24,38,28,23,31,36,28,37,27
32,26,29,29,35,34,30,35,29,28
36,26,44,23,23,36,27,33,33,28
28,28,23,23,29,25,35,27,43,23
32,25,34,25,29,42,38,28,27,32
30,31,25,32,36,27,34,22,33,33
32,29,33,32,30,37,36,24,34,33
32,31,27,35,39,35,28,38,34,36
38,29,31,22,32,36,39,37,41,31
28,23,28,32,33,29,33,36,28,37
23,34,45,38,28,27,36,32,32,33
33,33,26,31,27,32,30,27,44,31
29,34,32,30,27,32,26,34,36,31
25,38,28,31,28,25,31,45,26,33
28,33,26,31,37,29,28,24,29,34
26,26,29,47,29,30,28,23,31,26
28,30,32,33,34,31,33,34,29,27
31,30,37,24,39,37,51,28,43,31
37,27,27,38,28,26,27,40,34,36
