Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
32,25,24,33,27,25,24,26,25,21
28,32,32,31,27,26,25,26,33,29
37,30,25,27,34,26,30,34,43,30
26,35,33,24,31,23,27,25,32,30
27,30,26,28,26,21,26,36,25,30
29,24,29,25,29,34,29,31,38,29
32,29,27,22,27,26,25,27,27,30
32,32,23,34,37,31,32,22,27,29
32,27,31,34,29,30,22,26,28,29
27,28,26,23,24,36,29,39,34,25
26,27,26,31,30,26,32,31,28,37
32,28,30,32,31,28,24,34,31,30
25,28,28,30,30,26,22,28,21,34
30,24,24,28,28,30,28,27,26,26
30,28,29,29,31,26,27,30,25,24
36,30,24,28,30,25,28,28,32,30
28,30,25,32,27,31,24,32,22,28
28,35,26,27,36,38,29,27,28,28
34,26,28,33,33,29,25,26,33,36
24,30,27,27,25,33,24,34,35,30
27,37,28,36,29,32,29,25,25,31
29,33,27,30,25,28,28,29,30,26
36,24,25,26,28,29,26,34,27,29
26,23,26,28,26,25,32,25,37,30
26,32,25,30,29,25,24,29,30,23
25,28,27,26,36,27,30,22,24,28
26,24,30,29,26,27,24,33,30,30
30,27,25,28,31,30,28,26,27,25
28,30,28,33,30,36,28,28,26,24
34,34,26,24,28,36,28,25,20,25
26,26,25,36,24,28,24,29,34,36
41,34,31,35,27,39,32,29,29,36
26,26,34,27,29,33,34,28,30,29
31,29,31,27,25,33,25,27,30,30
35,28,32,23,30,28,21,34,27,29
39,36,27,29,33,35,21,26,27,29
30,28,28,33,24,28,24,26,26,36
29,28,30,28,26,36,29,27,31,28
27,28,28,29,27,36,24,29,31,31
29,30,32,27,25,24,29,32,25,28
31,32,30,29,26,30,27,36,32,38
32,21,27,32,30,25,29,34,22,25
28,26,21,27,27,38,29,36,23,25
37,26,22,30,27,24,25,29,26,32
24,24,26,31,28,27,31,32,30,29
41,31,25,29,26,34,34,25,33,24
29,31,27,26,27,38,23,33,28,28
23,24,31,34,31,31,24,32,31,33
31,36,29,22,27,26,34,31,30,26
41,27,29,24,23,27,36,27,24,27
24,27,26,27,32,30,32,35,27,27
43,26,29,25,29,27,28,36,24,35
33,29,25,27,30,30,26,27,29,30
25,34,24,28,31,40,22,29,28,23
35,28,28,33,31,27,28,30,26,27
28,27,34,27,25,26,28,29,26,28
32,39,24,31,27,29,24,33,25,29
26,27,25,27,29,29,26,30,31,26
30,40,28,32,25,24,27,29,30,28
25,30,25,25,29,33,29,27,24,34
27,28,24,22,24,29,25,29,27,29
27,25,35,29,27,28,40,30,30,29
26,29,28,26,23,26,31,30,26,34
35,29,33,29,28,27,35,33,30,35
26,27,26,27,24,28,28,26,29,30
35,30,26,32,23,27,29,32,25,31
27,32,24,25,30,26,28,31,32,26
26,40,28,24,30,27,27,28,22,27
26,28,28,26,30,29,25,28,22,35
34,26,23,36,28,23,29,28,25,34
33,23,32,25,23,30,30,28,23,25
25,24,33,28,25,31,37,29,26,35
28,27,29,30,27,30,26,33,27,30
23,27,29,29,26,33,27,23,26,23
36,29,29,28,28,24,28,23,32,27
26,21,35,28,29,29,30,27,26,30
30,29,27,28,29,32,30,29,26,28
25,32,29,28,37,38,26,30,32,31
31,24,27,29,28,32,22,31,27,33
22,31,29,29,29,29,27,33,25,29
27,34,26,31,27,32,33,31,30,43
29,24,37,28,25,30,30,31,23,26
25,33,24,34,32,29,26,27,33,42
26,30,32,35,29,29,25,25,27,31
30,24,26,27,24,34,28,32,26,26
30,37,30,33,27,20,36,25,32,33
31,33,23,30,33,30,27,28,30,34
31,28,24,29,21,28,30,29,26,31
29,28,30,28,27,28,32,33,33,34
19,35,35,29,24,35,26,30,33,30
29,31,21,32,29,47,24,34,30,25
31,31,27,28,33,31,27,32,36,28
23,29,38,31,38,22,29,34,26,29
25,33,32,23,31,26,31,30,25,34
28,31,34,34,32,26,28,28,29,37
28,25,23,26,25,30,33,29,29,31
30,29,25,31,28,33,32,30,23,34
33,21,29,25,28,38,28,37,33,33
31,24,28,27,31,43,26,32,24,30
27,34,28,28,24,23,27,31,25,26
32,28,27,23,23,22,26,27,30,27
29,29,28,31,28,26,30,24,24,27
28,30,29,29,27,30,34,33,24,26
28,27,28,26,25,25,32,28,26,28
32,28,26,26,28,23,35,27,36,30
28,32,26,32,29,34,33,29,30,30
26,27,30,24,30,26,26,31,26,25
33,34,23,26,30,26,28,30,30,25
23,27,28,27,25,29,29,29,24,31
31,29,23,22,28,38,38,33,23,27
37,23,26,29,26,39,24,25,24,32
26,29,33,27,31,32,36,27,28,35
31,31,33,35,35,29,32,31,29,28
33,30,24,30,29,27,30,22,28,27
29,30,31,27,27,25,28,31,29,30
25,30,30,27,24,36,27,31,26,29
29,35,30,24,32,29,25,34,22,27
29,31,27,34,24,32,31,27,28,26
24,27,23,32,25,41,26,28,26,33
32,34,26,28,31,31,25,27,26,39
24,28,24,26,36,32,31,28,41,23
32,33,23,29,27,31,30,26,30,42
32,31,20,30,31,31,25,31,25,28
36,28,31,40,26,26,39,31,25,21
28,25,27,29,29,33,29,33,34,41
29,32,29,32,27,25,34,22,29,25
20,34,31,29,34,32,28,27,35,24
28,28,25,26,28,29,23,26,28,28
31,27,29,26,32,43,26,24,28,23
27,31,28,31,32,23,27,26,32,31
33,24,30,28,29,39,29,28,32,23
31,31,29,26,27,23,31,28,31,30
24,29,30,21,23,30,23,26,32,31
29,34,30,37,33,29,27,24,25,28
31,24,29,27,26,37,23,28,31,29
29,26,31,28,23,32,26,25,33,27
32,30,27,31,27,29,35,28,23,25
30,31,25,30,27,24,24,29,34,27
28,27,23,29,25,38,25,30,33,31
27,28,23,24,34,28,26,29,35,29
37,28,25,27,30,29,26,27,36,30
27,25,33,37,34,33,26,28,26,30
48,25,31,25,27,30,26,24,29,29
30,34,31,26,25,30,27,27,27,34
33,29,22,38,27,27,29,26,34,27
36,31,28,25,24,33,33,29,32,21
28,27,30,24,32,34,25,25,25,32
32,39,28,26,29,25,28,27,26,23
27,40,30,30,36,32,28,29,32,30
33,37,26,28,27,34,27,35,34,34
27,37,27,25,28,34,29,31,30,25
25,36,25,29,27,28,29,29,23,28
22,22,27,24,32,30,31,26,24,29
24,24,29,33,24,28,34,29,20,23
27,37,26,31,24,26,32,38,33,26
26,30,28,25,35,31,37,30,25,23
26,26,27,34,30,32,28,35,32,26
29,30,24,24,39,28,26,25,30,24
28,27,24,34,24,24,30,27,27,25
28,26,32,37,36,30,26,20,31,34
40,29,25,31,28,28,28,27,28,30
26,31,26,24,27,31,26,30,29,29
34,34,26,29,30,34,29,29,27,30
34,28,27,29,32,27,27,30,31,31
29,37,31,34,31,33,29,34,28,29
25,34,29,27,32,24,34,30,27,24
24,24,26,33,28,22,25,33,37,28
38,35,29,31,27,30,36,27,27,35
38,30,23,33,28,22,24,30,25,25
27,31,29,25,27,28,30,37,27,30
27,32,32,30,32,29,30,28,27,26
27,28,31,27,26,31,27,25,25,26
27,25,26,29,27,34,26,33,22,30
27,26,30,30,28,36,26,36,32,30
31,26,29,29,27,27,29,24,29,28
25,25,21,30,26,27,26,34,31,24
23,28,27,35,30,26,24,36,33,28
30,28,25,24,23,22,30,27,36,35
26,27,27,22,28,33,27,29,24,33
