Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10
10->8,17->12,73->32,86->26,94->51,53->20,83->53,71->36,26->12,28->12
44->21,73->35,59->25,59->19,46->28,14->7,4->2,97->48,91->42,96->50
12->9,65->28,66->27,90->57,51->31,88->37,26->18,58->29,44->19,4->3
5->4,33->8,4->3,80->3,21->13,55->31,42->14,7->3,33->17,93->45
68->31,60->41,45->14,41->24,67->32,86->39,59->35,18->9,16->9,33->16
73->23,35->19,56->16,74->67,41->18,71->51,56->24,90->41,62->22,34->18
63->24,80->47,37->20,49->30,81->21,62->42,48->31,27->15,53->24,40->6
83->48,82->51,35->26,92->56,33->15,56->16,51->33,98->61,54->26,31->14
31->14,16->75,99->54,18->6,65->78,41->23,90->28,77->34,45->23,21->13
35->25,51->73,81->55,19->71,76->89,35->26,16->8,61->28,83->49,11->5
74->89,54->79,32->39,55->66,18->57,39->74,91->97,24->54,13->45,83->94
93->97,81->93,85->94,51->80,60->85,46->80,29->66,73->82,73->85,57->82
19->58,88->92,47->70,7->23,5->86,64->86,74->87,99->100,42->71,42->68
57->73,13->34,20->77,89->95,89->93,75->89,20->94,22->35,95->98,5->60
22->52,15->33,90->92,76->85,96->97,18->61,44->64,38->59,71->87,43->72
36->81,78->96,19->66,53->89,48->67,7->41,61->84,51->79,31->53,30->74
17->62,85->95,89->96,39->61,9->62,32->62,68->82,47->73,79->90,69->87
24->79,4->20,22->73,66->83,79->90,69->79,72->75,9->87,19->55,17->57
54->80,8->62,36->69,6->46,37->77,47->58,98->99,25->45,36->65,26->56
45->67,25->48,31->75,87->91,53->66,45->78,86->92,53->71,58->74,12->37
