Board1,Board2,Board3,Board4,Board5,Board6,Board7,Board8,Board9,Board10
3->2,95->34,76->55,89->86,90->8,36->25,11->9,80->41,74->71,95->1
7->6,40->32,42->32,97->73,65->57,9->8,50->49,28->27,86->36,69->43
85->59,55->51,64->63,67->64,58->36,32->27,34->14,85->73,27->11,76->63
10->7,47->37,58->27,44->23,38->12,78->65,36->8,77->67,11->10,28->20
86->36,61->43,17->2,33->29,66->31,39->7,68->62,17->14,89->73,73->71
46->24,83->1,98->89,50->42,77->60,13->12,96->40,11->10,34->32,39->32
84->48,6->5,11->7,76->36,89->1,99->75,61->54,94->75,64->1,84->57
35->1,87->64,21->48,90->1,95->89,22->89,27->25,15->11,53->44,78->27
23->22,23->21,36->43,11->7,96->94,60->68,12->13,90->62,44->12,61->51
40->29,63->99,78->83,72->49,78->77,94->95,24->36,65->68,9->54,88->68
18->39,75->78,67->68,4->40,52->53,43->45,23->45,62->65,23->24,30->31
39->44,68->85,9->44,45->76,45->66,93->96,80->82,47->80,46->100,65->73
37->38,64->70,3->65,53->80,23->32,58->73,31->52,38->43,49->59,43->44
96->98,99->100,62->66,5->15,13->92,69->93,45->57,3->37,94->95,4->46
24->100,65->71,34->56,13->20,31->62,19->40,52->60,39->52,92->93,80->86
77->79,14->17,35->36,62->69,67->70,53->57,74->78,19->47,63->65,32->60
82->84,92->93,89->93,47->53,20->49,29->32,47->56,23->44,79->80,91->95
79->99,35->47,14->15,20->38,60->61,62->70,76->88,41->42,88->89,21->30
54->75,43->89,43->50,27->56,8->9,88->90,86->99,18->23,71->92,54->58
89->90,25->98,18->20,93->99,37->45,87->88,84->87,71->83,8->34,7->26
