Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
24,26,32,22,37,28,24,30,45,34
32,31,29,18,40,28,33,32,37,30
33,38,32,39,29,24,44,27,43,27
28,36,38,25,29,29,25,53,23,21
32,30,54,33,21,25,31,25,32,28
30,25,31,23,27,33,29,29,38,31
26,25,35,25,27,40,29,30,27,27
32,27,29,29,30,27,30,31,31,27
26,36,29,24,27,30,29,29,21,25
27,27,36,24,28,21,27,27,31,34
25,30,27,27,24,33,31,34,40,21
28,30,29,28,29,26,31,24,21,26
31,28,35,27,47,28,23,32,31,27
32,27,30,28,29,33,36,37,43,21
32,30,29,26,32,31,28,29,32,30
31,32,34,27,42,27,33,25,34,36
29,30,38,24,25,29,31,24,27,30
28,27,43,32,27,26,27,29,29,28
30,26,30,24,32,30,35,30,33,32
38,22,28,22,29,27,31,29,33,31
38,24,28,22,29,32,33,33,21,30
23,24,38,27,24,24,36,27,39,30
33,34,29,35,24,27,37,28,25,21
22,41,30,32,36,25,39,21,24,20
27,26,36,26,29,44,27,37,27,23
37,30,27,32,34,22,28,36,22,20
27,55,31,22,24,34,25,30,24,22
30,41,35,22,21,27,23,27,31,19
22,35,35,27,27,27,28,28,39,30
35,24,27,26,30,20,34,31,44,31
24,25,31,27,31,28,47,26,26,27
23,39,22,28,34,36,39,27,28,29
25,30,36,37,26,39,30,35,21,29
25,29,40,24,26,24,29,27,34,31
33,28,34,30,32,31,47,25,24,30
35,37,33,25,25,27,36,28,23,26
34,33,36,19,29,30,26,22,32,27
28,22,20,24,22,25,28,23,33,28
30,23,30,26,33,37,22,24,30,33
27,33,25,27,30,35,28,34,38,34
43,26,33,26,30,25,29,32,28,26
29,29,24,23,34,29,39,31,28,31
40,28,30,30,25,27,34,23,21,26
31,33,25,24,37,36,29,31,30,26
19,37,25,32,37,22,41,40,25,27
24,34,24,28,28,27,33,25,25,27
27,39,49,23,42,30,39,33,33,30
34,28,28,28,24,46,34,26,29,33
28,24,28,28,31,39,30,32,22,32
23,25,27,30,24,28,43,42,38,25
29,25,23,24,33,26,25,31,33,28
38,29,35,26,32,25,35,30,23,29
30,34,35,27,28,33,30,31,26,32
31,36,24,29,28,36,29,36,39,26
37,35,41,24,41,24,30,32,30,22
28,33,32,22,25,25,30,31,28,19
21,29,30,22,37,21,32,33,30,31
37,26,26,27,28,26,27,26,36,26
31,42,23,24,32,34,24,36,44,30
23,27,37,28,34,25,30,25,32,34
43,30,28,23,27,43,33,33,28,26
23,27,23,24,28,27,28,24,29,24
25,30,28,26,33,32,53,30,27,25
25,35,25,24,38,25,34,39,32,25
25,26,29,22,33,32,27,26,32,26
28,24,28,28,32,22,29,40,20,27
30,30,51,25,30,36,38,42,29,29
28,22,41,24,24,31,24,19,31,36
30,24,27,30,30,31,32,27,27,34
22,45,34,30,31,36,33,31,33,27
27,29,31,24,34,33,35,31,24,29
34,24,26,26,41,35,30,29,43,31
31,44,27,24,44,36,23,38,28,30
37,29,20,29,31,31,27,29,35,29
38,23,40,26,33,32,29,29,27,23
30,26,29,22,23,25,29,41,26,27
35,29,24,20,27,30,22,25,21,32
31,34,29,24,34,27,28,24,29,29
33,37,27,22,33,28,30,36,33,29
35,27,39,26,28,24,34,32,22,26
30,28,34,26,29,37,30,25,28,29
36,33,30,25,25,29,41,32,30,37
37,39,26,24,28,30,25,24,27,27
33,32,26,29,26,28,31,20,30,35
29,25,38,28,31,25,26,39,24,30
34,21,24,31,31,31,34,26,40,26
31,29,30,23,29,33,31,30,25,24
28,22,23,27,31,25,21,24,27,30
26,27,29,19,25,23,26,37,27,26
28,33,35,24,22,22,37,31,28,36
29,32,31,24,28,34,25,31,36,23
30,27,54,30,34,33,28,28,25,29
32,32,28,37,28,19,24,25,26,30
27,22,23,22,35,31,26,35,27,27
31,28,31,24,32,34,26,27,31,31
29,32,31,21,29,26,30,35,30,26
39,29,31,24,33,35,28,29,37,36
26,30,31,31,28,27,39,28,26,30
25,39,46,35,28,31,35,32,29,34
35,21,32,25,34,25,32,36,29,24
24,24,33,32,26,36,24,33,28,37
34,29,32,24,30,27,38,25,33,32
37,32,31,30,28,26,35,32,23,27
26,32,38,25,23,35,23,28,27,23
22,24,28,25,31,35,23,37,20,28
34,27,38,26,22,27,27,33,25,23
24,30,25,36,18,32,30,36,22,25
33,35,32,24,34,23,25,30,25,30
30,34,28,22,28,25,30,30,34,29
31,33,29,32,26,37,31,32,29,21
28,33,24,29,30,25,30,34,24,36
26,29,36,21,36,28,26,50,28,25
33,29,26,29,24,23,31,31,36,28
29,38,42,20,29,25,31,37,33,34
27,25,25,22,26,29,29,35,36,24
29,30,30,25,23,38,27,29,26,18
37,33,37,29,34,22,29,31,28,23
30,33,53,31,27,36,26,32,31,27
26,30,29,29,31,30,32,29,33,34
