Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
39,25,25,23,29,28,34,34,24,24
32,30,30,32,28,35,26,33,25,25
30,32,35,30,25,26,27,31,25,28
36,29,39,27,29,30,42,35,31,37
27,25,32,24,32,29,34,31,24,27
36,34,32,31,31,26,36,38,27,26
28,37,29,27,26,30,36,28,25,38
28,30,33,28,27,26,35,27,28,29
25,34,31,34,28,39,24,33,26,31
32,27,29,26,27,38,28,25,25,29
28,31,27,29,31,35,27,25,31,32
38,25,31,31,34,26,31,27,23,35
34,26,25,26,24,23,30,26,35,25
34,32,30,31,35,28,40,22,30,38
28,35,32,27,24,31,31,34,28,43
25,25,37,31,32,28,30,27,26,30
23,38,27,27,26,27,24,22,25,29
33,31,25,28,32,32,30,29,30,34
29,33,24,28,23,34,31,32,34,33
35,30,36,25,30,33,32,29,27,28
32,28,41,29,31,26,30,26,36,24
29,37,36,33,32,31,33,35,31,32
26,37,25,29,28,26,25,26,28,44
28,28,24,27,31,28,25,28,29,32
30,30,26,19,29,29,26,31,40,31
26,28,29,29,34,30,31,27,25,24
32,23,30,30,43,33,33,28,29,28
31,24,26,39,32,32,32,44,28,39
30,29,30,27,29,25,32,28,34,29
29,31,25,38,30,28,32,28,26,29
37,33,29,24,26,33,27,29,28,36
25,30,28,32,26,37,38,29,26,26
50,35,35,29,31,32,43,34,32,33
33,28,27,35,41,26,37,35,35,28
46,31,30,30,28,32,42,25,32,35
27,35,23,22,23,33,27,29,35,31
39,28,31,33,31,28,39,32,26,29
29,33,28,28,23,31,28,29,34,30
32,29,28,33,28,45,36,30,25,20
38,33,26,23,27,34,34,31,37,27
38,25,32,25,39,31,34,28,33,26
25,32,27,24,23,27,38,31,34,21
27,40,28,46,31,24,30,37,28,39
27,29,30,32,25,24,27,44,31,39
31,29,30,27,32,30,29,33,25,31
33,24,35,22,30,21,31,28,31,24
39,35,31,27,24,23,32,29,35,29
38,29,27,33,22,26,36,30,23,40
33,28,32,19,27,30,37,35,27,24
26,36,27,29,35,32,29,24,30,40
36,35,33,33,31,31,32,32,29,27
24,40,31,34,32,26,30,25,39,26
29,41,37,34,35,27,28,31,29,28
35,30,29,27,31,25,24,25,29,36
34,29,26,40,28,21,35,29,33,25
36,34,29,31,34,27,29,24,26,28
42,35,22,34,25,26,26,29,34,28
28,29,33,32,27,35,36,26,30,26
32,31,39,25,30,35,29,32,30,34
25,23,27,37,27,34,31,30,24,23
37,27,26,29,26,33,32,28,31,26
30,23,27,24,27,32,34,33,24,26
31,33,30,27,37,41,26,29,28,25
42,37,37,34,31,37,32,30,27,37
29,31,25,29,28,31,56,34,37,32
29,41,29,27,26,34,26,29,26,30
32,40,40,23,30,26,32,33,34,39
24,27,29,25,35,28,35,28,29,28
36,39,32,25,32,29,29,32,36,35
31,24,30,29,28,29,28,30,27,30
34,33,28,26,24,25,39,32,31,28
34,25,24,26,30,36,27,45,28,34
37,33,29,30,29,28,27,31,28,43
24,37,31,31,30,24,29,32,31,29
26,35,28,33,27,36,27,36,34,30
23,30,33,28,28,25,31,27,23,26
34,29,34,29,25,40,31,25,28,28
28,28,26,21,28,28,26,34,31,26
38,32,31,24,35,27,41,25,32,28
29,38,28,29,22,24,31,31,30,28
31,26,37,27,26,36,25,26,27,31
29,36,29,35,31,22,34,23,35,34
31,39,39,36,23,35,33,35,33,31
33,26,29,27,31,31,38,22,33,29
