Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
41,35,31,36,34,48,45,33,35,28
47,41,26,25,30,42,43,31,28,28
34,45,37,31,33,34,31,26,40,46
34,54,24,30,32,33,33,31,35,28
42,33,32,33,42,28,45,39,56,31
37,30,31,31,26,36,40,37,33,42
28,35,27,27,32,33,31,36,33,28
29,32,27,37,32,27,47,29,36,34
33,32,34,28,39,39,34,38,44,39
43,53,38,38,32,41,35,26,54,31
39,36,36,48,39,33,36,26,40,30
24,27,43,28,34,33,57,40,32,32
33,27,28,32,28,37,32,29,41,39
31,43,36,29,28,45,43,28,36,24
32,22,33,27,29,26,53,26,37,34
40,30,38,35,30,32,47,33,40,47
33,32,42,33,30,30,38,34,35,26
36,23,28,25,36,29,30,32,35,34
30,23,39,30,35,31,31,27,24,49
29,41,38,38,32,35,36,32,38,32
34,41,35,24,26,27,38,29,50,36
37,31,35,30,23,43,34,32,54,75
26,32,38,39,27,28,39,34,33,40
29,32,29,31,30,35,26,41,27,35
26,30,31,35,33,34,37,26,42,32
30,29,44,43,40,31,41,28,31,40
32,29,35,29,33,27,30,24,36,48
29,35,31,38,27,43,53,34,44,34
36,26,31,34,32,42,32,25,34,47
27,35,34,41,30,34,25,25,37,31
31,37,39,31,38,31,31,28,29,44
33,27,36,36,40,32,37,27,32,27
33,35,34,28,26,55,25,29,49,38
31,50,30,37,36,29,40,31,36,46
34,34,35,35,30,53,30,37,27,43
27,48,32,29,28,35,30,37,24,40
31,37,40,33,35,36,37,22,21,28
31,35,37,36,38,37,31,25,46,29
37,31,33,33,28,45,42,32,32,34
23,33,33,23,34,28,40,32,39,32
44,35,37,25,28,38,45,31,27,66
33,40,43,31,36,38,34,29,29,34
31,31,40,35,42,36,25,43,24,33
33,25,42,40,30,36,39,23,38,37
41,24,40,28,42,34,42,33,26,52
32,34,41,28,45,48,57,24,44,43
33,34,39,34,31,38,40,34,28,31
30,26,31,25,27,33,29,33,38,30
32,28,38,34,25,31,32,25,36,39
32,34,32,27,43,30,34,41,38,42
33,25,43,42,29,48,29,40,34,30
39,40,58,39,23,25,35,25,33,55
32,25,24,30,34,45,37,30,29,32
25,34,30,26,30,32,36,32,39,38
36,31,27,36,38,34,39,33,27,35
25,44,30,26,32,27,26,32,41,44
29,36,31,37,28,26,34,27,52,25
34,48,37,46,51,37,30,38,48,36
44,27,30,32,31,42,42,26,26,35
34,37,41,35,34,37,34,24,34,33
35,31,48,29,37,32,50,33,36,31
30,26,35,30,31,44,51,36,28,33
32,26,32,35,38,43,36,33,21,47
24,27,24,35,36,37,38,27,32,31
31,39,47,38,37,34,35,30,36,30
25,47,38,36,39,31,54,23,58,30
31,45,29,34,36,41,35,41,37,27
27,33,25,39,32,44,25,32,28,31
44,26,27,33,31,36,43,32,43,46
37,25,27,32,29,30,39,36,40,48
34,31,35,31,30,37,28,29,32,20
37,37,25,23,33,27,38,35,31,26
41,23,34,41,31,28,32,26,39,45
42,41,44,30,34,43,37,32,33,50
27,29,33,31,50,43,37,25,33,28
40,43,25,33,26,47,29,35,30,41
41,40,35,28,24,37,44,29,37,30
29,32,48,39,32,31,40,30,48,40
35,45,40,34,38,28,43,31,36,39
34,26,26,28,24,41,37,38,28,30
35,33,43,36,33,35,32,32,29,25
36,33,37,37,34,29,38,36,41,33
32,33,40,25,33,36,40,29,32,30
36,34,38,40,31,43,42,29,29,71
27,35,36,34,41,37,39,35,33,34
63,30,36,30,27,39,42,39,37,42
49,34,23,43,48,31,24,30,30,28
33,29,32,30,36,31,34,44,36,44
34,33,30,36,33,29,25,32,40,28
24,43,43,43,28,41,49,33,50,39
32,31,36,32,24,41,39,33,33,39
34,51,31,29,53,40,40,28,33,27
33,24,33,40,38,36,24,38,29,41
34,35,36,27,35,42,31,24,40,43
31,32,43,25,40,31,38,26,42,44
30,36,31,35,27,48,35,29,41,36
28,29,31,45,38,40,35,35,40,34
34,43,30,30,23,26,38,23,52,47
29,53,33,36,32,33,53,27,44,26
36,43,34,35,27,31,40,32,31,39
33,36,44,36,38,40,41,31,45,35
