Board 1,Board 2,Board 3,Board 4,Board 5,Board 6,Board 7,Board 8,Board 9,Board 10
29,42,34,22,35,35,34,41,31,36
35,34,27,37,34,28,41,30,39,42
34,24,33,25,41,40,37,35,26,30
30,39,34,28,30,40,55,43,30,42
24,32,28,46,44,26,37,26,32,38
33,31,49,25,44,40,41,30,25,36
32,34,39,35,31,30,39,40,32,54
39,29,30,27,33,38,41,31,34,37
38,30,26,30,26,34,26,31,38,39
36,41,37,27,26,39,39,35,34,44
39,37,30,27,35,44,36,27,51,33
43,33,23,30,38,36,44,40,39,27
46,37,33,37,32,29,30,33,40,37
29,27,29,38,41,44,39,38,29,33
38,37,35,29,30,33,45,47,28,26
31,41,41,28,35,35,41,38,29,34
37,37,24,46,29,40,30,47,37,30
40,34,38,26,35,35,36,44,31,45
36,28,29,32,36,42,40,33,28,55
37,43,39,41,28,37,35,33,32,31
25,43,25,38,27,34,33,42,40,40
36,34,28,33,33,31,43,43,39,73
36,46,36,54,32,37,38,30,42,32
35,30,26,29,37,33,45,42,38,34
41,34,29,26,28,29,42,59,33,40
41,37,39,35,33,36,27,41,27,25
33,34,41,51,32,32,43,31,40,29
34,35,32,41,27,37,33,28,35,43
30,36,46,31,33,33,34,35,30,40
39,29,44,31,29,28,25,50,29,29
35,27,38,39,38,37,28,33,39,28
39,27,35,26,34,41,35,30,29,41
34,37,26,42,33,32,36,34,35,38
44,31,36,33,31,34,50,32,31,44
35,40,37,36,37,24,39,45,35,40
41,41,40,33,39,39,37,27,33,35
26,31,24,29,34,46,36,26,37,51
30,37,28,38,31,37,39,42,47,36
41,36,41,32,27,36,31,64,33,47
33,39,38,30,40,42,28,34,33,29
32,35,41,27,29,32,45,32,33,42
33,26,26,37,33,50,39,36,35,53
49,34,28,37,30,42,52,49,52,35
43,28,40,33,31,26,27,40,37,58
41,29,31,25,32,32,26,32,39,36
43,39,35,23,44,41,47,41,30,29
27,32,30,33,31,25,41,31,35,33
41,38,36,31,28,32,34,37,45,39
56,37,35,31,33,37,39,30,36,48
38,39,31,28,31,31,28,46,37,33
45,25,45,46,35,29,56,29,31,35
42,36,42,39,35,25,41,29,32,53
42,34,31,50,26,37,39,42,36,27
